Date,USD_CHF,USD_CNY,USD_EUR,USD_GBP,USD_PLN
2012-01-02,0.9384,6.2935,0.7727,0.645,3.4462
2012-01-03,0.9397,6.2935,0.773,0.6446,3.4522
2012-01-04,0.932,6.2938,0.7662,0.639,3.4217
2012-01-05,0.9423,6.2944,0.7725,0.6403,3.477
2012-01-06,0.9524,6.3019,0.782,0.6454,3.5269
2012-01-09,0.9584,6.3092,0.7876,0.6484,3.5406
2012-01-10,0.9482,6.3152,0.7833,0.6467,3.5132
2012-01-11,0.9508,6.3147,0.7827,0.6458,3.4969
2012-01-12,0.9534,6.3154,0.7869,0.6524,3.5103
2012-01-13,0.944,6.3182,0.7797,0.6519,3.4396
2012-01-16,0.9542,6.3068,0.7911,0.6543,3.4923
2012-01-17,0.9556,6.3166,0.7895,0.6525,3.4756
2012-01-18,0.949,6.3142,0.7849,0.6521,3.4194
2012-01-19,0.9388,6.3117,0.7777,0.6478,3.376
2012-01-20,0.9326,6.3171,0.7711,0.6455,3.323
2012-01-23,0.9371,6.334,0.7768,0.6429,3.345
2012-01-24,0.9268,6.334,0.7675,0.6421,3.2835
2012-01-25,0.9275,6.334,0.7674,0.64,3.2778
2012-01-26,0.9219,6.334,0.763,0.6387,3.2475
2012-01-27,0.9218,6.334,0.7631,0.6373,3.2386
2012-01-30,0.9133,6.3358,0.756,0.636,3.2048
2012-01-31,0.9176,6.3305,0.7612,0.6367,3.2365
2012-02-01,0.9204,6.3086,0.7643,0.6346,3.2309
2012-02-02,0.9146,6.3068,0.7597,0.6314,3.182
2012-02-03,0.9176,6.3021,0.7607,0.6325,3.1896
2012-02-06,0.9193,6.3031,0.7624,0.6322,3.1759
2012-02-07,0.9196,6.3117,0.7613,0.6318,3.1822
2012-02-08,0.9124,6.3056,0.754,0.6289,3.1406
2012-02-09,0.9134,6.2938,0.7541,0.6321,3.1598
2012-02-10,0.9122,6.2943,0.7527,0.6322,3.1599
2012-02-13,0.9137,6.2954,0.7569,0.6337,3.1747
2012-02-14,0.9188,6.2961,0.7579,0.6342,3.181
2012-02-15,0.9198,6.2994,0.7617,0.6372,3.1831
2012-02-16,0.9244,6.3002,0.7652,0.6371,3.2235
2012-02-17,0.9192,6.3015,0.7613,0.6329,3.197
2012-02-20,0.9148,6.2989,0.7583,0.631,3.1519
2012-02-21,0.9136,6.3019,0.7549,0.6307,3.1602
2012-02-22,0.9116,6.2973,0.7554,0.6336,3.1515
2012-02-23,0.9102,6.296,0.7549,0.6382,3.1662
2012-02-24,0.901,6.2985,0.7476,0.635,3.1199
2012-02-27,0.8944,6.2982,0.7426,0.6294,3.0936
2012-02-28,0.8986,6.3017,0.7463,0.6318,3.1085
2012-02-29,0.8942,6.2988,0.7425,0.6287,3.0632
2012-03-01,0.9048,6.2938,0.7504,0.6282,3.1
2012-03-02,0.905,6.301,0.751,0.6267,3.0776
2012-03-05,0.9148,6.2979,0.758,0.6314,3.1163
2012-03-06,0.912,6.3072,0.7564,0.6302,3.1271
2012-03-07,0.9188,6.3118,0.7624,0.636,3.1751
2012-03-08,0.9171,6.3102,0.7605,0.6352,3.1642
2012-03-09,0.9084,6.3165,0.7529,0.6316,3.089
2012-03-12,0.9192,6.3198,0.7625,0.6378,3.1199
2012-03-13,0.9154,6.3249,0.7605,0.6395,3.1221
2012-03-14,0.923,6.3277,0.7646,0.6366,3.1497
