Date,DAX,Dow Jones,NASDAQ Composite,S&P 500
2012-01-02,5900.18,12221.19,2657.39,1258.86
2012-01-03,6124.11,12221.19,2657.39,1258.86
2012-01-04,6141.26,12392.46,2639.9,1277.03
2012-01-05,6121.34,12418.42,2642.57,1277.3
2012-01-06,6114.64,12407.45,2671.17,1280.93
2012-01-09,6061.26,12359.31,2682.98,1277.83
2012-01-10,6090.87,12394.51,2704.42,1280.77
2012-01-11,6148.45,12459.52,2695.77,1292.02
2012-01-12,6160.09,12449.91,2716.87,1292.48
2012-01-13,6242.49,12469.96,2707.41,1294.82
2012-01-16,6120.4,12469.96,2707.41,1294.82
2012-01-17,6301.91,12423.12,2736.34,1290.22
2012-01-18,6330.43,12474.69,2731.16,1293.65
2012-01-19,6377.24,12578.19,2779.74,1308.07
2012-01-20,6410.75,12623.83,2776.04,1314.49
2012-01-23,6387.33,12720.25,2786.21,1315.29
2012-01-24,6372.49,12708.37,2771.58,1315.96
2012-01-25,6448.87,12673.63,2803.23,1314.4
2012-01-26,6453.62,12757.33,2828.78,1326.28
2012-01-27,6507.77,12733.95,2797.66,1318.25
2012-01-30,6454.54,12659.17,2790.4,1316.16
2012-01-31,6489.04,12654.78,2825.76,1313.53
2012-02-01,6482.95,12632.76,2830.1,1312.45
2012-02-02,6640.05,12716.54,2854.1,1324.24
2012-02-03,6649.57,12705.04,2888.95,1326.21
2012-02-06,6752.03,12860.72,2892.52,1344.32
2012-02-07,6772.75,12844.37,2895.91,1344.33
2012-02-08,6800.72,12865.79,2906.59,1347.04
2012-02-09,6782.14,12884.41,2922.46,1349.97
2012-02-10,6730.54,12889.55,2902.0,1351.21
2012-02-13,6748.68,12799.11,2926.21,1343.06
2012-02-14,6712.68,12871.77,2921.7,1351.3
2012-02-15,6807.55,12864.65,2943.42,1350.52
2012-02-16,6665.24,12779.81,2915.67,1342.61
2012-02-17,6811.02,12903.33,2958.22,1358.06
2012-02-20,6892.04,12903.33,2958.22,1358.06
2012-02-21,6936.91,12949.34,2957.3,1361.22
2012-02-22,6914.68,12966.22,2942.77,1362.11
2012-02-23,6838.94,12937.08,2933.16,1357.53
