"date","open","high","low","value","volume","date_fmt","interval"
"2015-09-18","0.028038976900000002","0.028897627250000002","0.027923463399999997","0.0283239102","17713.1096215","2015-09-18","histoday"
"2015-09-19","0.0283239102","0.0286165444","0.027211130150000002","0.0280235751","12553.930171","2015-09-19","histoday"
"2015-09-20","0.029648465","0.029648465","0.02772324","0.02772324","35.3856355","2015-09-20","histoday"
"2015-09-21","0.028878374999999998","0.029648465","0.028878374999999998","0.02926342","18.98656895","2015-09-21","histoday"
"2015-09-22","0.0275307175","0.028339312000000002","0.02701090675","0.02705711215","18411.0421885","2015-09-22","histoday"
"2015-09-23","0.02705711215","0.02763467965","0.0246505809","0.0250664295","43022.348498499996","2015-09-23","histoday"
"2015-09-24","0.026183059999999998","0.026183059999999998","0.025798015","0.025798015","27.37284905","2015-09-24","histoday"
"2015-09-25","0.02513958805","0.026063696049999998","0.025077980849999997","0.025636296099999997","8425.477680999998","2015-09-25","histoday"
"2015-09-26","0.0254514745","0.0254514745","0.0253975682","0.0253975682","7.3697612999999995","2015-09-26","histoday"
"2015-09-27","0.024719889000000002","0.025147288950000003","0.02427708725","0.024700636749999998","8737.710671499999","2015-09-27","histoday"
"2015-09-28","0.024700636749999998","0.02581726725","0.0230025883","0.0231335036","53917.2737825","2015-09-28","histoday"
"2015-09-29","0.022717655","0.025020224100000002","0.021277586699999997","0.021277586699999997","19.329258999999997","2015-09-29","histoday"
"2015-09-30","0.0199145274","0.02222864785","0.019113633799999998","0.02162027675","121430.640533","2015-09-30","histoday"
"2015-10-01","0.02162027675","0.021932163199999997","0.02026491835","0.020773177749999996","59129.396920499996","2015-10-01","histoday"
"2015-10-02","0.020773177749999996","0.02286012165","0.020426637249999997","0.02236726405","55583.55602","2015-10-02","histoday"
"2015-10-03","0.02236726405","0.02287552345","0.020291871500000003","0.020291871500000003","44263.5025515","2015-10-03","histoday"
"2015-10-04","0.020291871500000003","0.0209156444","0.01884025185","0.019417819349999997","43648.662695499996","2015-10-04","histoday"
"2015-10-05","0.019417819349999997","0.020649963349999998","0.018512963599999998","0.01880944825","85625.6525235","2015-10-05","histoday"
"2015-10-06","0.01880944825","0.022005321749999997","0.01924069865","0.020877139899999998","114938.24277","2015-10-06","histoday"
