"Date","Price","Open","High","Low","Change %"
"Mar 10, 2021","3.8436","3.8416","3.8552","3.8368","0.21%"
"Mar 09, 2021","3.8357","3.8807","3.8872","3.8342","-1.12%"
"Mar 08, 2021","3.8790","3.8514","3.8846","3.8409","0.86%"
"Mar 05, 2021","3.8459","3.8128","3.8633","3.8085","0.95%"
"Mar 04, 2021","3.8096","3.7685","3.8191","3.7613","1.14%"
"Mar 03, 2021","3.7665","3.7564","3.7788","3.7456","0.33%"
"Mar 02, 2021","3.7542","3.7624","3.7854","3.7528","-0.16%"
"Mar 01, 2021","3.7603","3.7424","3.7690","3.7299","0.56%"
"Feb 26, 2021","3.7392","3.7146","3.7497","3.7064","0.76%"
"Feb 25, 2021","3.7111","3.7034","3.7220","3.6803","0.28%"
"Feb 24, 2021","3.7009","3.7094","3.7342","3.6997","-0.16%"
"Feb 23, 2021","3.7070","3.6986","3.7156","3.6903","0.29%"
"Feb 22, 2021","3.6962","3.7011","3.7196","3.6930","-0.05%"
"Feb 19, 2021","3.6982","3.7125","3.7173","3.6902","-0.32%"
"Feb 18, 2021","3.7102","3.7304","3.7374","3.7103","-0.48%"
"Feb 17, 2021","3.7282","3.7142","3.7439","3.7095","0.45%"
"Feb 16, 2021","3.7115","3.6976","3.7186","3.6844","0.47%"
"Feb 15, 2021","3.6941","3.7106","3.7146","3.6923","-0.33%"
"Feb 12, 2021","3.7062","3.7120","3.7287","3.7066","-0.09%"
"Feb 11, 2021","3.7096","3.7066","3.7193","3.7001","0.15%"
"Feb 10, 2021","3.7041","3.6925","3.7116","3.6818","0.37%"
"Feb 09, 2021","3.6906","3.7148","3.7204","3.6906","-0.58%"
"Feb 08, 2021","3.7121","3.7231","3.7355","3.7091","-0.14%"
"Feb 05, 2021","3.7174","3.7626","3.7676","3.7185","-1.13%"
"Feb 04, 2021","3.7600","3.7283","3.7676","3.7234","0.90%"
"Feb 03, 2021","3.7264","3.7215","3.7441","3.7147","0.20%"
"Feb 02, 2021","3.7190","3.7401","3.7470","3.7185","-0.46%"
"Feb 01, 2021","3.7363","3.7248","3.7438","3.7208","0.40%"
"Jan 29, 2021","3.7215","3.7467","3.7579","3.7183","-0.62%"
"Jan 28, 2021","3.7446","3.7558","3.7731","3.7380","-0.24%"
"Jan 27, 2021","3.7537","3.7380","3.7761","3.7328","0.49%"
"Jan 26, 2021","3.7354","3.7397","3.7566","3.7337","-0.04%"
"Jan 25, 2021","3.7370","3.7301","3.7493","3.7220","0.27%"
"Jan 22, 2021","3.7268","3.7255","3.7371","3.7195","0.16%"
"Jan 21, 2021","3.7208","3.7450","3.7483","3.7213","-0.53%"
"Jan 20, 2021","3.7407","3.7389","3.7536","3.7246","0.11%"
"Jan 19, 2021","3.7367","3.7574","3.7620","3.7323","-0.44%"
"Jan 18, 2021","3.7531","3.7566","3.7748","3.7494","0.01%"
"Jan 15, 2021","3.7528","3.7371","3.7625","3.7331","0.52%"
"Jan 14, 2021","3.7333","3.7340","3.7576","3.7264","0.07%"
"Jan 13, 2021","3.7307","3.7036","3.7392","3.6986","0.81%"
"Jan 12, 2021","3.7008","3.7269","3.7317","3.7013","-0.60%"
"Jan 11, 2021","3.7230","3.6906","3.7343","3.6890","0.93%"
