"Date","Price","Open","High","Low","Change %"
"Mar 10, 2021","0.8402","0.8406","0.8425","0.8396","0.00%"
"Mar 09, 2021","0.8402","0.8441","0.8450","0.8392","-0.46%"
"Mar 08, 2021","0.8441","0.8388","0.8443","0.8380","0.61%"
"Mar 05, 2021","0.8390","0.8356","0.8408","0.8348","0.43%"
"Mar 04, 2021","0.8354","0.8289","0.8360","0.8287","0.80%"
"Mar 03, 2021","0.8288","0.8270","0.8304","0.8255","0.23%"
"Mar 02, 2021","0.8269","0.8299","0.8339","0.8268","-0.35%"
"Mar 01, 2021","0.8298","0.8278","0.8314","0.8263","0.22%"
"Feb 26, 2021","0.8280","0.8213","0.8291","0.8206","0.84%"
"Feb 25, 2021","0.8211","0.8220","0.8227","0.8168","-0.11%"
"Feb 24, 2021","0.8220","0.8231","0.8259","0.8213","-0.12%"
"Feb 23, 2021","0.8230","0.8227","0.8241","0.8210","0.06%"
"Feb 22, 2021","0.8225","0.8253","0.8271","0.8217","-0.30%"
"Feb 19, 2021","0.8250","0.8270","0.8277","0.8234","-0.24%"
"Feb 18, 2021","0.8270","0.8307","0.8309","0.8268","-0.43%"
"Feb 17, 2021","0.8306","0.8260","0.8318","0.8257","0.58%"
"Feb 16, 2021","0.8258","0.8245","0.8268","0.8217","0.18%"
"Feb 15, 2021","0.8243","0.8249","0.8253","0.8234","-0.07%"
"Feb 12, 2021","0.8249","0.8244","0.8278","0.8240","0.07%"
"Feb 11, 2021","0.8243","0.8253","0.8256","0.8231","-0.10%"
"Feb 10, 2021","0.8251","0.8252","0.8259","0.8234","0.01%"
"Feb 09, 2021","0.8250","0.8299","0.8303","0.8249","-0.59%"
"Feb 08, 2021","0.8299","0.8304","0.8321","0.8287","-0.04%"
"Feb 05, 2021","0.8302","0.8359","0.8367","0.8298","-0.68%"
"Feb 04, 2021","0.8359","0.8310","0.8364","0.8303","0.59%"
"Feb 03, 2021","0.8310","0.8303","0.8332","0.8298","0.10%"
"Feb 02, 2021","0.8302","0.8293","0.8326","0.8272","0.13%"
"Feb 01, 2021","0.8291","0.8238","0.8296","0.8234","0.63%"
"Jan 29, 2021","0.8239","0.8249","0.8270","0.8226","-0.10%"
"Jan 28, 2021","0.8247","0.8257","0.8278","0.8236","-0.11%"
"Jan 27, 2021","0.8256","0.8224","0.8294","0.8217","0.41%"
"Jan 26, 2021","0.8222","0.8238","0.8259","0.8213","-0.18%"
"Jan 25, 2021","0.8237","0.8219","0.8254","0.8207","0.23%"
"Jan 22, 2021","0.8218","0.8221","0.8230","0.8203","-0.02%"
"Jan 21, 2021","0.8220","0.8260","0.8263","0.8214","-0.47%"
"Jan 20, 2021","0.8259","0.8245","0.8281","0.8225","0.18%"
"Jan 19, 2021","0.8244","0.8280","0.8283","0.8234","-0.41%"
"Jan 18, 2021","0.8278","0.8274","0.8296","0.8270","0.01%"
"Jan 15, 2021","0.8277","0.8227","0.8282","0.8221","0.64%"
"Jan 14, 2021","0.8224","0.8225","0.8257","0.8211","-0.01%"
"Jan 13, 2021","0.8225","0.8191","0.8238","0.8181","0.42%"
"Jan 12, 2021","0.8191","0.8229","0.8240","0.8190","-0.45%"
"Jan 11, 2021","0.8228","0.8185","0.8243","0.8178","0.55%"
"Jan 08, 2021","0.8183","0.8148","0.8202","0.8140","0.44%"
"Jan 07, 2021","0.8147","0.8113","0.8167","0.8099","0.44%"
"Jan 06, 2021","0.8111","0.8133","0.8153","0.8098","-0.23%"
"Jan 05, 2021","0.8130","0.8166","0.8166","0.8126","-0.39%"
"Jan 04, 2021","0.8162","0.8176","0.8181","0.8123","-0.62%"
"Jan 01, 2021","0.8213","0.8235","0.8250","0.8183","0.34%"
"Dec 31, 2020","0.8185","0.8131","0.8191","0.8123","0.66%"
"Dec 30, 2020","0.8131","0.8164","0.8166","0.8123","-0.39%"
"Dec 29, 2020","0.8163","0.8185","0.8192","0.8146","-0.26%"
"Dec 28, 2020","0.8184","0.8195","0.8210","0.8163","-0.09%"
"Dec 25, 2020","0.8191","0.8206","0.8220","0.8188","-0.17%"
"Dec 24, 2020","0.8205","0.8205","0.8213","0.8186","0.01%"
"Dec 23, 2020","0.8204","0.8221","0.8228","0.8182","-0.19%"
"Dec 22, 2020","0.8220","0.8167","0.8229","0.8158","0.65%"
"Dec 21, 2020","0.8167","0.8169","0.8244","0.8161","0.12%"
"Dec 18, 2020","0.8157","0.8152","0.8180","0.8148","0.09%"
"Dec 17, 2020","0.8150","0.8198","0.8203","0.8148","-0.56%"
"Dec 16, 2020","0.8196","0.8229","0.8248","0.8188","-0.38%"
"Dec 15, 2020","0.8227","0.8235","0.8250","0.8217","-0.07%"
"Dec 14, 2020","0.8233","0.8243","0.8254","0.8212","-0.25%"
"Dec 11, 2020","0.8254","0.8239","0.8261","0.8221","0.21%"
"Dec 10, 2020","0.8237","0.8276","0.8282","0.8224","-0.47%"
"Dec 09, 2020","0.8276","0.8263","0.8293","0.8231","0.18%"
"Dec 08, 2020","0.8261","0.8257","0.8268","0.8241","0.05%"
"Dec 07, 2020","0.8257","0.8245","0.8280","0.8219","0.11%"
"Dec 04, 2020","0.8248","0.8234","0.8257","0.8211","0.17%"
"Dec 03, 2020","0.8234","0.8253","0.8264","0.8213","-0.23%"
"Dec 02, 2020","0.8253","0.8285","0.8306","0.8251","-0.37%"
"Dec 01, 2020","0.8284","0.8383","0.8385","0.8280","-1.16%"
"Nov 30, 2020","0.8381","0.8363","0.8387","0.8330","0.28%"
"Nov 27, 2020","0.8358","0.8395","0.8399","0.8357","-0.41%"
"Nov 26, 2020","0.8392","0.8392","0.8414","0.8374","0.00%"
"Nov 25, 2020","0.8392","0.8411","0.8417","0.8382","-0.19%"
"Nov 24, 2020","0.8408","0.8444","0.8449","0.8406","-0.44%"
"Nov 23, 2020","0.8445","0.8436","0.8475","0.8399","0.13%"
"Nov 20, 2020","0.8434","0.8421","0.8439","0.8409","0.17%"
"Nov 19, 2020","0.8420","0.8436","0.8463","0.8415","-0.18%"
"Nov 18, 2020","0.8435","0.8429","0.8440","0.8409","0.08%"
"Nov 17, 2020","0.8428","0.8438","0.8444","0.8407","-0.08%"
"Nov 16, 2020","0.8435","0.8454","0.8465","0.8425","-0.17%"
"Nov 13, 2020","0.8449","0.8471","0.8476","0.8447","-0.24%"
"Nov 12, 2020","0.8469","0.8492","0.8505","0.8458","-0.25%"
