"Date","Price","Open","High","Low","Change %"
"Mar 10, 2021","0.7194","0.7200","0.7222","0.7187","-0.03%"
"Mar 09, 2021","0.7196","0.7232","0.7246","0.7181","-0.50%"
"Mar 08, 2021","0.7232","0.7227","0.7247","0.7211","0.12%"
"Mar 05, 2021","0.7223","0.7196","0.7257","0.7190","0.39%"
"Mar 04, 2021","0.7195","0.7166","0.7205","0.7134","0.42%"
"Mar 03, 2021","0.7165","0.7167","0.7184","0.7139","0.00%"
"Mar 02, 2021","0.7165","0.7182","0.7216","0.7154","-0.21%"
"Mar 01, 2021","0.7180","0.7174","0.7193","0.7143","0.06%"
"Feb 26, 2021","0.7176","0.7135","0.7200","0.7129","0.59%"
"Feb 25, 2021","0.7134","0.7074","0.7143","0.7051","0.89%"
"Feb 24, 2021","0.7071","0.7087","0.7102","0.7024","-0.20%"
"Feb 23, 2021","0.7085","0.7110","0.7115","0.7084","-0.34%"
"Feb 22, 2021","0.7109","0.7135","0.7153","0.7099","-0.35%"
"Feb 19, 2021","0.7134","0.7156","0.7168","0.7125","-0.27%"
"Feb 18, 2021","0.7153","0.7218","0.7225","0.7150","-0.91%"
"Feb 17, 2021","0.7219","0.7192","0.7232","0.7188","0.38%"
"Feb 16, 2021","0.7192","0.7193","0.7211","0.7167","0.01%"
"Feb 15, 2021","0.7191","0.7222","0.7222","0.7183","-0.44%"
"Feb 12, 2021","0.7223","0.7237","0.7260","0.7213","-0.19%"
"Feb 11, 2021","0.7237","0.7230","0.7246","0.7215","0.14%"
"Feb 10, 2021","0.7227","0.7238","0.7246","0.7211","-0.14%"
"Feb 09, 2021","0.7237","0.7278","0.7280","0.7235","-0.55%"
"Feb 08, 2021","0.7277","0.7284","0.7310","0.7273","-0.04%"
"Feb 05, 2021","0.7280","0.7314","0.7321","0.7277","-0.45%"
"Feb 04, 2021","0.7313","0.7328","0.7371","0.7300","-0.19%"
"Feb 03, 2021","0.7327","0.7319","0.7343","0.7308","0.15%"
"Feb 02, 2021","0.7316","0.7319","0.7347","0.7293","-0.03%"
"Feb 01, 2021","0.7318","0.7292","0.7323","0.7268","0.27%"
"Jan 29, 2021","0.7298","0.7289","0.7322","0.7272","0.15%"
"Jan 28, 2021","0.7287","0.7306","0.7337","0.7274","-0.26%"
"Jan 27, 2021","0.7306","0.7280","0.7322","0.7266","0.40%"
"Jan 26, 2021","0.7277","0.7313","0.7348","0.7275","-0.48%"
"Jan 25, 2021","0.7312","0.7310","0.7327","0.7286","0.08%"
"Jan 22, 2021","0.7306","0.7282","0.7334","0.7279","0.34%"
"Jan 21, 2021","0.7281","0.7323","0.7326","0.7275","-0.56%"
"Jan 20, 2021","0.7322","0.7337","0.7341","0.7289","-0.19%"
"Jan 19, 2021","0.7336","0.7361","0.7368","0.7333","-0.31%"
"Jan 18, 2021","0.7359","0.7356","0.7397","0.7351","0.01%"
"Jan 15, 2021","0.7358","0.7306","0.7369","0.7300","0.74%"
"Jan 14, 2021","0.7304","0.7331","0.7344","0.7293","-0.37%"
"Jan 13, 2021","0.7331","0.7318","0.7347","0.7298","0.21%"
"Jan 12, 2021","0.7316","0.7399","0.7405","0.7315","-1.10%"
"Jan 11, 2021","0.7397","0.7371","0.7434","0.7370","0.35%"
"Jan 08, 2021","0.7371","0.7372","0.7387","0.7333","0.01%"
"Jan 07, 2021","0.7370","0.7349","0.7390","0.7334","0.31%"
"Jan 06, 2021","0.7347","0.7339","0.7387","0.7314","0.12%"
"Jan 05, 2021","0.7338","0.7368","0.7378","0.7330","-0.39%"
"Jan 04, 2021","0.7367","0.7318","0.7385","0.7297","0.74%"
"Jan 01, 2021","0.7313","0.7314","0.7314","0.7308","0.03%"
"Dec 31, 2020","0.7311","0.7340","0.7351","0.7307","-0.37%"
"Dec 30, 2020","0.7338","0.7406","0.7411","0.7338","-0.92%"
"Dec 29, 2020","0.7406","0.7435","0.7437","0.7394","-0.36%"
"Dec 28, 2020","0.7433","0.7382","0.7447","0.7365","0.73%"
"Dec 25, 2020","0.7379","0.7379","0.7380","0.7358","0.01%"
"Dec 24, 2020","0.7378","0.7410","0.7413","0.7342","-0.43%"
"Dec 23, 2020","0.7410","0.7484","0.7490","0.7368","-0.98%"
