"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2021","13,073.83","12,923.07","13,151.54","12,882.49","1.28B","3.69%"
"Mar 08, 2021","12,609.16","12,904.26","13,001.00","12,599.23","1.27B","-2.41%"
"Mar 05, 2021","12,920.15","12,860.04","12,941.21","12,397.05","1.56B","1.55%"
"Mar 04, 2021","12,723.47","12,953.99","13,068.71","12,553.96","1.58B","-2.11%"
"Mar 03, 2021","12,997.75","13,336.25","13,372.52","12,995.07","1.16B","-2.70%"
"Mar 02, 2021","13,358.79","13,599.45","13,601.33","13,352.00","1.08B","-1.69%"
"Mar 01, 2021","13,588.83","13,406.16","13,596.59","13,362.66","1.10B","3.01%"
"Feb 26, 2021","13,192.34","13,232.90","13,368.06","13,024.53","1.44B","0.56%"
"Feb 25, 2021","13,119.43","13,512.64","13,602.86","13,066.38","1.33B","-3.52%"
"Feb 24, 2021","13,597.97","13,400.25","13,607.36","13,286.59","1.24B","0.99%"
"Feb 23, 2021","13,465.20","13,262.61","13,526.09","13,003.98","1.64B","-0.50%"
"Feb 22, 2021","13,533.05","13,714.20","13,757.06","13,530.96","1.37B","-2.46%"
"Feb 19, 2021","13,874.46","13,929.20","13,985.58","13,842.60","1.31B","0.07%"
"Feb 18, 2021","13,865.36","13,814.67","13,905.96","13,714.35","1.24B","-0.72%"
"Feb 17, 2021","13,965.50","13,911.65","13,976.43","13,804.26","1.35B","-0.58%"
"Feb 16, 2021","14,047.50","14,152.21","14,175.12","13,995.45","1.49B","-0.34%"
"Feb 12, 2021","14,095.47","13,979.21","14,102.04","13,937.71","1.32B","0.50%"
"Feb 11, 2021","14,025.77","14,045.21","14,058.91","13,916.84","1.98B","0.38%"
"Feb 10, 2021","13,972.53","14,093.35","14,109.12","13,845.47","1.83B","-0.25%"
"Feb 09, 2021","14,007.70","13,966.82","14,044.95","13,966.55","1.52B","0.14%"
"Feb 08, 2021","13,987.64","13,937.06","13,987.74","13,894.15","1.61B","0.95%"
"Feb 05, 2021","13,856.30","13,824.88","13,878.16","13,761.66","1.26B","0.57%"
"Feb 04, 2021","13,777.74","13,674.06","13,778.42","13,631.62","1.29B","1.23%"
"Feb 03, 2021","13,610.54","13,718.31","13,723.83","13,585.34","1.36B","-0.02%"
"Feb 02, 2021","13,612.78","13,543.10","13,652.70","13,535.86","1.43B","1.56%"
"Feb 01, 2021","13,403.39","13,226.18","13,431.46","13,132.47","1.39B","2.55%"
"Jan 29, 2021","13,070.70","13,284.72","13,322.00","12,985.05","1.78B","-2.00%"
"Jan 28, 2021","13,337.16","13,323.29","13,507.64","13,316.52","2.16B","0.50%"
"Jan 27, 2021","13,270.60","13,486.58","13,538.42","13,192.91","2.19B","-2.61%"
"Jan 26, 2021","13,626.07","13,681.72","13,702.69","13,603.19","1.25B","-0.07%"
"Jan 25, 2021","13,635.99","13,681.21","13,728.98","13,368.68","1.43B","0.69%"
"Jan 22, 2021","13,543.06","13,474.80","13,567.14","13,463.66","1.13B","0.09%"
"Jan 21, 2021","13,530.92","13,521.48","13,560.35","13,454.08","1.34B","0.55%"
"Jan 20, 2021","13,457.25","13,342.55","13,486.13","13,329.77","1.29B","1.97%"
"Jan 19, 2021","13,197.18","13,132.73","13,206.86","13,078.70","1.22B","1.53%"
"Jan 15, 2021","12,998.50","13,099.89","13,139.83","12,949.76","1.26B","-0.87%"
"Jan 14, 2021","13,112.64","13,174.75","13,220.16","13,098.41","1.21B","-0.12%"
"Jan 13, 2021","13,128.95","13,088.01","13,171.15","13,051.07","1.27B","0.43%"
"Jan 12, 2021","13,072.43","13,062.06","13,105.04","12,963.92","1.25B","0.28%"
"Jan 11, 2021","13,036.43","13,048.78","13,138.27","12,999.51","1.24B","-1.25%"
"Jan 08, 2021","13,201.97","13,160.21","13,208.09","13,036.55","1.33B","1.03%"
"Jan 07, 2021","13,067.48","12,867.34","13,090.91","12,867.34","1.25B","2.56%"
"Jan 06, 2021","12,740.79","12,666.15","12,909.63","12,649.99","1.45B","-0.61%"
"Jan 05, 2021","12,818.96","12,665.65","12,828.27","12,665.65","1.21B","0.95%"
"Jan 04, 2021","12,698.45","12,958.52","12,958.72","12,543.24","1.27B","-1.47%"
"Dec 31, 2020","12,888.28","12,877.09","12,902.07","12,821.23","987.15M","0.14%"
